Контрагент,БИН,State,City,ЦБ,lat,lon
"ГУ ""Отдел образования города Аксу"" управления образования Павлодарской области",060240011479,Павлодарская область,Аксу г.,ЦБ Аксу,52.033403,76.922621
Коммунальное государственное учреждение “Достыкская средняя школа” отдела образования города Аксу, управления образования Павлодарской области,980840001673,Павлодарская область,Аксу г.,ЦБ Аксу,51.998911,76.125456
Коммунальное государственное учреждение “Средняя школа села Айнаколь” отдела образования города Аксу, управления образования Павлодарской области,981140002064,Павлодарская область,Аксу г.,ЦБ Аксу,52.225642,76.808041
Коммунальное государственное учреждение “Средняя школа имени Донентаева села Курколь” отдела образования города Аксу, управления образования Павлодарской области,980940002675,Павлодарская область,Аксу г.,ЦБ Аксу,51.839116,77.170511
Коммунальное государственное учреждение “Средняя школа имени М. Кабылбекова” отдела образования города Аксу, управления образования Павлодарской области,950340001233,Павлодарская область,Аксу г.,ЦБ Аксу,52.302377,76.774767
Коммунальное государственное учреждение “Средняя школа села Сарышыганак” отдела образования города Аксу, управления образования Павлодарской области,981140002371,Павлодарская область,Аксу г.,ЦБ Аксу,52.561568,76.574587
Коммунальное государственное учреждение “Основная школа станции Спутник” отдела образования города Аксу, управления образования Павлодарской области,980440002637,Павлодарская область,Аксу г.,ЦБ Аксу,52.179808,76.616583
Коммунальное государственное учреждение “Основная школа села Сольветка” отдела образования города Аксу, управления образования Павлодарской области,981240001911,Павлодарская область,Аксу г.,ЦБ Аксу,52.004167,76.682429
Коммунальное государственное учреждение “Начальная школа №5 города Аксу” отдела образования города Аксу, управления образования Павлодарской области,170340011059,Павлодарская область,Аксу г.,ЦБ Аксу,52.023285,76.916108
Коммунальное государственное учреждение «Средняя школа села Акжол» отдела образования города Аксу, управления образования Павлодарской области,981140002034,Павлодарская область,Аксу г.,ЦБ Аксу,51.951654,75.969374
Коммунальное государственное учреждение “Начальная школа села Суатколь ” отдела образования города Аксу, управления образования Павлодарской области,170340010625,Павлодарская область,Аксу г.,ЦБ Аксу,52.524550,76.605615
"КГУ ""Средняя школа села Береке"" отдела образования города Аксу, управления образования Павлодарской области",981140002956,Павлодарская область,Аксу г.,-,51.998095,76.084834
